;Entite;Label;liste_contxt_gauche;liste_contxt_droit
939;l’;LOC;a, t’on vient, ;"on se;démène.

"
940;"se;démène";LOC;on vient, l’on ;".

Näurez:vous "
941;Näurez;LOC;"on se;démène.

";:vous pas mille
942;T—.:Mais;LOC;"oupéi - .. . _
";—ilçs’agissait 
943;Ghapitre;LOC; l‘existencedu ;", dit
monsieur "
944;Wattevﬂle;LOC;"it
monsieur de ";. Puis, l’amour
945;l’;LOC;ttevﬂle. Puis, ;amour—propre, l
946;l’;LOC;" conscience
de ";archevêque, tou
947;Famille;LOC;i ,dit—elle à' ;, si nous avez 
948;varon;LOC;"r l’avocat Sa—
";".

— Il sera bi"
949;l’;LOC; votre. voix à ;avocat Savaron 
950;Savaron;LOC;oix à l’avocat ;" aux
prochaines"
951;Wàtteville;LOC;" le baron
' de ";".

. ——Bahl dit"
952;peut—;LOC;vous ordonnera ; —être d’y alle
953;enga—;LOC; a Léopold les ;"
gemens du vica"
954;puis—;LOC;"ployés.

— Que "; je pour vous, 
955;bonho—;LOC; une admirable ;"
mie, fut écout"
956;Watteville;LOC;aider pour,les ;., ce ne serait
957;Paris;LOC; serait rien à ;";
mais 1c1 ?. ."
958;Con—;LOC;pare point les ;"
viotions.

— E"
959;l’;LOC;une chôse, dit ;"abbé; venez à l"
960;l’;LOC;"’abbé; venez à ";"hôtel de Rupt-
"
961;Albcr;LOC;, dit vivement ;,t mademoiselle
962;Watteville;LOC;"ademoiselle
de "; aurait encore 
963;l’;LOC;"y

— Non pas à ";église, non pas
964;Savarus;LOC;la mairie, dit ;".
mais moraleme"
965;Watteville;LOC;ademoiselle de ;, _dit gtaVemen
966;j’;LOC;"e de vous, que
";aime et respect
967;Savarus;LOC;Graucey quitta ; en lui lançant
968;athlète—;LOC;pacte du jeune ;, tout en admir
969;l’;LOC;ant fait pour» ;introduire ici!
970;l’;LOC;e en regardant ;avocat dans son
971;l’;LOC;ns le salon de ;"hôtel
de Rupt. "
972;Rupt;LOC;" de l’hôtel
de ";. et je n’enten
973;Watteville;LOC;ours quand les ;" et les Rupt
le"
974;t’;LOC;urs : te voir, ;entendre, aller
975;Bouxey;LOC;ndre, aller au ;"
avec toi pour "
976;intel—;LOC;sens et de son ;"
ligence. Elle "
977;Seules;LOC;re comtesse de ;".

Pâle comme u"
978;Pâle;LOC;"se de Seules.

"; comme un lis, 
979;Légitimiste;LOC;"te. . - , .

— ";"?
— Avant1830. "
980;Etat;LOC;" au conseil

d’";, attaché à la 
981;Dauphin;LOC;"s, bien

vu du "; et de la Dauph
982;Dauphine;LOC;uphin et de la ;“. Il eût été b
983;liesancon;LOC;"r la
îville de ";":

act“

\

-— "
984;Savaron;LOC;vous donc a ce ;"?

—- Monsieur "
985;indiscré—;LOC;cret sur cette ;"
tion), 3 ’il e"
986;j’;LOC;"10- _

priélé, ";y veux demeurer
987;Amédée;LOC;iantre! se dit ; en sortant de 
988;l’;LOC; en sortant de ;"hôtel de Rupt,
"
989;Rupt;LOC; de l’hôtel de ;",
cette ﬁlle n’"
990;lende—;LOC; Aussi, dès le ;"
main de la rév"
991;Angleterre;LOC;"e les wighs en
";. Cette doctrin
992;Chavoncourt;LOC;" monsieur de“

"; parut aux gens
993;Besançon;LOC;rès—estimédans ;, représentait 
994;l’;LOC;s électeurs ne ;"estiment pas.
L"
995;de Besançon;LOC;"
belles femmes ";. Pendant les s
996;Chavoncou‘rt;LOC;"rismonsieur de
";. En hiver, ell
997;Chavoncourt;LOC;ison. Le jeune ;", âgé
de vingt—"
998;Granvelle;LOC;ent ensemble à ;, ils faisaient
999;Vauchelles;LOC;r, monsieur de ;" avaitson
plan "
1000;Vauchel-;LOC;Chavoncourt et ;"
‘ les avertira"
1001;Ghav‘oncourt;LOC;nt monsieur de ; du“ péril que 
1002;Besan-;LOC;uis deux ans a ;"
çon. Le préfet"
1003;gouverne—;LOC; conviction au ;"
ment de Juille"
1004;"rue
de Grenelle";LOC;qui tout dire, ;, au Ministère 
1005;Besançon;LOC;n bon préfet à ;. Ce préfet lut
1006;chui—;LOC;son terrain en ;"_
sissant le mo"
1007;qu’;LOC;ent avoir lieu ;à trois mois de
1008;l’;LOC;"écoule en—
tre ";ordonnance de c
1009;l’;LOC;ui, comme elle ;avoue plus tard
1010;Italie;LOC;t enverrait en ; et les lettres
1011;l’;LOC;"a son père

de ";air le plus nai
1012;Servir;LOC;à quoi pouvait ;"

son air d’inn"
1013;Watteville;LOC;" la baronne de
";"‘. _

Deux mois"
1014;l’;LOC;e, composée de ;entrepreneur qu
1015;beau—;LOC;"d’Arcier, du

—"; —père de monsi
1016;Granet;LOC;r, de monsieur ;", cet

homme in"
1017;l’;LOC;"é Girardot,
de ";imprimeur de la
1018;faux—ﬁère;LOC;à lui, quelque ; qui secrètemen
1019;Besançon;LOC;" pu espérer"" à ";. En attendant 
1020;abbé de Giancey;LOC;"ausait avec

l’";, qui s ’intére
1021;Vauchelles;LOC;"i-
monsieur do ";, pas plus rich
1022;l’;LOC; avait reconnu ;énorme capacité
1023;Chavoncourt;LOC;" monsieur de

'";"; car le beau—f"
1024;beau—frère;LOC;"ncourt; car le "; de sa femme, p
1025;Tràhit;LOC;"é tres. '

' — ";... s’écria D’a
1026;Sais;LOC;r qui, je n’en ; rien, répliqua
1027;Préfecture;LOC;"le prêtre. La

"; est au fait de
1028;"De

-' semblables affaires";LOC; aucun conseil ; veulent être é
1029;l’;LOC;"e-

‘rez ainsi ";effet que cette
1030;Bi—;LOC;uirait sur les ;"‘

sontins.

- "
1031;l’;LOC;", vous
avez en ";occasiôn de vou
1032;Rupt;LOC;e à l’hôtel de ;", vous
ne savez"
1033;l’;LOC;"tiez
maître de ";élection par le
1034;caire général;LOC;" trouva la vi-
"; et l’avocat fr
1035;Et l’;LOC;"es élections.

";avocat prit le 
1036;l’;LOC;ces réelles de ;âme, autrement 
1037;vienne;LOC;"e décision de-
"; déﬁnitive, dit
1038;l’;LOC;déﬁnitive, dit ;avocat, je croi
1039;trou—;LOC;s déclarations ;"
blaient vos co"
1040;Besançon;LOC; son arrivée à ;, en prenant de
1041;l’;LOC; du cœur et de ;âme de cet ambi
1042;la Provence;LOC;le gloire pour ;" d’avoir
deviné"
1043;Etat;LOC;"6 seul homme
d’"; qu’ait produit
1044;instru—;LOC;r un magniﬁque ;"
ment politique"
1045;l’;LOC;"uis est devenu
";une des'capacit
1046;Besançon;LOC;es'capacitésde ;, un chef—d’œuv
1047;l’;LOC;a réﬂexion. si ;on eût voté, ce
1048;Bisontins;LOC;plaudi par des ;", il avait
obte"
1049;de Besançon;LOC;" Le com-
merce "; ﬁt de l’avocat
1050;l’;LOC;Besançon ﬁt de ;avocat Savaron 
1051;Savaron de Savarus;LOC;ﬁt de l’avocat ;" son
candidat. "
1052;Chavoncourt;LOC;ec monsieur de ;", aﬁn de se
coa"
1053;Savarus;LOC;" aux
cliens de "; : « Le député 
1054;l’;LOC;actions ? Vous ;aurez pour escl
1055;l’;LOC; si au lieu de ;envoyer à la ch
1056;Savarus;LOC;lus nuisible à ;", que déjà
quel"
1057;l’;LOC;"s intéressés
à ";affaire du pont
1058;caire;LOC;"er chez le vi-
"; général, et le
1059;habi—;LOC;et où les gens ;"
les peuvent pr"
1060;Angleterre;LOC;"sique comme
en ";, n’en sont pas
1061;Anglais;LOC;profondes. Les ;"
font les chose"
1062;France;LOC; de poings, en ;" elles se font
"
1063;l’;LOC;que se passe à ;"inverse du ca—
"
1064;Chavoncourt;LOC;"t,
monsieur de "; se présenta, p
1065;Chavoncourt;LOC;" mon-
sieur de "; réunies aux qu
1066;quatre—vingts;LOC;rt réunies aux ;" voix réel—
les"
1067;réel—;LOC;re—vingts voix ;"
les de la préf"
1068;l’;LOC;t maîtresse de ;"élection pour
p"
1069;prépa—;LOC;s. Une réunion ;"
ratoire est au"
1070;qu’;LOC;x élections ce ;est au théâtre 
1071;l’;LOC;t. Il avait en ;esprit, le géni
1072;Savarus;LOC;ls apprirent à ;", par
l’intermé"
1073;qu’;LOC;"rti, le métier
";ils faisaient p
1074;0lll‘S;LOC;epuis tror_s _];" le
sommeil ne "
1075;Magdeleine;LOC;"on
digne de la ";. Des larmes ro
1076;b01t,_le;LOC; la pensée les ;" feu_ de
l’âme,"
1077;l’;LOC;"1t,_le feu_ de
";âme,le's dévara
1078;Que;LOC;"a. lettre quer
"; devient—elle? 
1079;l’;LOC;crire, mais je ;ai prévenus. Es
1080;j’;LOC;.jamais ce que ;"en souffert?
Qu"
1081;l’;LOC;"er sa tête sur
";épaule de ce vi
1082;espé—;LOC;s lueurs d’une ;"
rance. Le
Mime"
1083;.;LOC;"Le
Mime: . . . ";" …

— Par-deb; "
1084;Par-deb;LOC;": . . . . …

— ";"; cher abbé, ma"
1085;j’;LOC;" ans: En
1788, ";étais curés Je 
1086;Besançon;LOC;e veux mOuñr à ;". ’

-‘—-a Vene"
1087;Venez;LOC;"nçon. ’

-‘—-a "; la voit! s’écr
1088;l’;LOC;"ugie
et menant ";abbé dans le ca
1089;4-- c’;LOC;"u’il éclaire.

";est une de ces 
1090;pardonne—;LOC;"cable; elle ne ";"
rait pas une i"
1091;Michel;LOC;t un aiehang‘e ;", l’ange des“
e"
1092;l’;LOC;hang‘e Michel, ;"ange des“
exécu"
1093;tx‘dŸäille;LOC;"dÏonurs que
je "; pour vo‘iiS. S
1094;soixante—quinze;LOC;r‘t,il en faut ;" de
plus...

i,"
1095;quatre—vingts;LOC;’en a que cent ;. _ __ _ _ _ _ 
1096;pou$sé;LOC;"es pieds comme
"; par un ressort
1097;l’;LOC;"nsieur de
prit ";abbé. ,_ , _] .
1098;Sidonie de Chavoncourt;LOC;‘ mademoiselle ;".

——Jamaisl __"
1099;l’;LOC;"is la dignité,
";honnêteté, du p
1100;l’;LOC;verez demain à ;hôtel de Rupt m
1101;Rupt;LOC;n à l’hôtel de ;" madame de
Çhav"
1102;ﬁaüce;LOC;"si grande con—
"; en vous que vo
1103;sachez—;LOC; avenir. Mais, ;"
le, je ne suis"
1104;Watteville;LOC;"quis madame de
";, et c’est tout
1105;l’;LOC;et c’est toute ;aristocratie de
1106;de Besançon;LOC;l’aristocratie ;". Amd—:
déc de,"
1107;Soulas;LOC;". Amd—:
déc de,"; et Vauchelles,
1108;Vauchelles;LOC;c de,Soulas et ;, qui-voterontp
1109;jeunèSse;LOC;"
»_entraîné la ";, madame de Wat
1110;Chavoncourt;LOC;urné madame de ;", demanda
Sàvar"
1111;Chavoncourt;LOC;"é. Monsieur de
";, qui a trois ﬁ
1112;Vauchelles;LOC;a fortune. _Si ; épouse la prem
1113;Sidonie;LOC; deux autres?, ; a_sei2e ans, e
1114;l’;LOC;mari manger de ;argent àParis. 
1115;àParis;LOC;er de l’argent ;". Ge quelqu’un
"
1116;j’;LOC;" nommé
député, ";ai la fortune d
1117;faire,-et;LOC;de quelqu’un à ;" en la faisant
"
1118;Splendide;LOC;" en la faisant
"; je serai dégag
1119;"atteville;éæièntr‘emplis";LOC;"a_.baronne de

"; par l’aristocr
1120;l’;LOC;On y diacutait ;"eæwptioad’a -—
"
1121;eæwptioad’;LOC; y diacutait l’;"a -—

l ler __ "
1122;Rupt;LOC;la ﬁlle des de ;".

Chav0nc0urt,"
1123;l’;LOC;"
On savait que ";ancien maitre d
1124;Sidonie;LOC;"a
seconde ﬁlle ";, mise divineme
1125;l’;LOC;"en, tandis que
";aînée, sûre de 
1126;Etat;LOC;"ancien
homme d’"; septuagénaire,
1127;Toulouse;LOC;e Fitz—James à ;". — vous ferez
"
1128;Etc;LOC;ju'sté—milieul ;".

Aneuf heures"
1129;peut—;LOC;..' retiennent ; —étre monsieur
1130;Sidonie;LOC;"a-
riage entre "; e't' monsieur 
1131;menaienr;LOC;ardin suivi de ; de Wattevill‘e
1132;Wattevill‘e;LOC;de menaienr de ;", de
Philomène,"
1133;Granaey;LOC;cria ] abbé de ;", ou heureux!

"
1134;s’;LOC; feignit de ne ;apercevoir de r
1135;l’;LOC;la singulière, ;"ébouriﬁ‘ante

n"
1136;l’;LOC;e du départ de ;avocat Albert S
1137;Chavohcourt;LOC;demoiselles de ; et monsieur de
1138;Vauchelles;LOC;et monsieur de ;",
l’abbé de Gra"
1139;l’;LOC;"de Vauchelles,
";abbé de Grancey
1140;de Besançon;LOC; haute société ;", qui tenait
be"
1141;l’;LOC;t une lettre à ;abbé de Gra'nce
1142;"la mitf1oiden;éhtdaus";LOC;"e la
lettre et "; sa poche sans 
1143;abbe;LOC;t un mot que l’; trouva sublime
1144;Sidonie;LOC;e mariage avec ;"!

Le lendemain"
1145;Mademoiselle;LOC;"
de sa vie.

— ";, il est arrivé
1146;Paris;LOC; est arrivé de ; dans la matiné
1147;Y;LOC;"un
milord.

-— "; avait—il sur‘ 
1148;l’;LOC; accompagné de ;"avocat, a fait
"
1149;demestiqù_o;LOC;a vu sortir ce ;"
avec un immens"
1150;mour1r;LOC;e s ’il allait ;, lui ni est si
1151;"P'rê—
facture";LOC;lé droit 'äl_a ;, et de là chez
1152;l’;LOC;ures et demie, ;avocat est part
1153;l’;LOC;andé le nom de ;étranger à l’Hô
1154;l’;LOC;"s
doute, avait ";air de ne pas p
1155;Savaron;LOC; aime l’avocat ;, était tout au
1156;Besançon;LOC;it que ﬁt dans ; la disparition
1157;l’;LOC;disparition de ;"a—-
vocatSavaro"
1158;meil—;LOC;it prêté de la ;"
laure grâce du"
1159;Besançon;LOC;" qnlexistent
à "; contre les étr
1160;l’;LOC;és à propos de ;ait‘aire du jou
1161;Girardot;LOC;"ement, l’avoué
";, le vicaire gé
1162;grave—;LOC;omène, étaient ;"
ment atfeetés "
1163;Phi—-;LOC;"général ; mais ";"
lomène, beauco"
1164;d’;LOC;"al nous a

mis ";accord‘avec la 
1165;Eiceys;LOC;la commune des ; en ﬁxant mes l
1166;a—;LOC;: il a l’air d’;"

voir gaiu de "
1167;grandîchose,’dit;LOC; pas besoin de ;" le baron,je
m’"
1168;Précisément;LOC;"un ogre. ‘

-— "; : j’ai beau ma
1169;sensles.jam—.;LOC;manger,“ jeune ;"

bas de ‘ plus"
1170;Grand—livre;LOC;"e rente sur
le ";. Nos eniansdem
1171;Bouxey;LOC;"omène
aime les ";".

—— Vous êtes"
1172;épouse—-;LOC;apprit qu’elle ;"

 

DE BALZÀG."
1173;BALZÀG;LOC;"pouse—-

 

DE ";".‘

rait monsie"
1174;Seules;LOC;"is
monsieur de ";"... < —

— Oh! "
1175;Watteville;LOC;ademoiselle de ;", reprit
Philom"
1176;conte—;LOC; la baronne en ;"
nant une fureu"
1177;l’;LOC;" voir bravée à
";improviste, oha
1178;Philo-;LOC;la si loin que ;" .
même et son "
1179;Rouxey;LOC;"lle saison
aux ";"; l’habitation "
1180;l’;LOC;’habitation de ;hôtel de Bupt l
1181;hôtel de Bupt;LOC;abitation de l’; leur était dev
1182;Besançon;LOC;rit alors dans ;" que
mademoisel"
1183;Watteville;LOC;ademoiselle de ; avait positive
1184;Bouxey;LOC;ient venus aux ; pour succédéru
1185;Chartreuse;LOC;e, restaure la ;" au goût de sa
"
1186;mada—;LOC;ancs. On dit à ;"

‘ me de Watte"
1187;Watteville;LOC;"mada—

‘ me de "; que loin‘ d’el
1188;nevoulaitpas;LOC;"vivre : elle

:"; se donner des 
1189;Besançon;LOC;"quinze août, à
";, poury rester 
1190;j’;LOC;abbé, vous que ;aime autant que
1191;l’;LOC;ervous avez de ;affection pour 
1192;Tenez;LOC;re mon mari... ;", lisezt

Elle "
1193;l’;LOC;n luiindiquant ;article suivant
1194;Chaulieu;LOC;eur le duc ”de ;, ancien ambass
1195;l’;LOC;ses, donnees à ;occasion de cem
1196;Florence;LOC;nt la ville de ;. La fortune de
1197;Argaiolo;LOC; la duchesse d’; est une des pl
1198;consi—;LOC;t une des plus ;"
» dérables de "
1199;l’;LOC;"
» dérables de ";Italie, car le 
1200;Italie;LOC; dérables de l’;, car le feu du
1201;l’;LOC;car le feu duc ;avait instituée
1202;l’;LOC;t comment? dit ;"abbé.

Philomèn"
1203;l’;LOC;"orps tombant à
";eau, l’interrom
1204;l’;LOC;"mbant à
l’eau, ";interrompit, el
1205;En';LOC;"us le baron.

'";t‘roulant prend
1206;l’;LOC;"rut
apercevoir ";empreinte d’un 
1207;souf—;LOC;, fait qui eût ;"
ﬂeté quelque s"
1208;natu—;LOC;deur se trouve ;"
rellement au p"
1209;l’;LOC;"en
fouillant à ";endroit où boui
1210;l’;LOC;ù bouillonnait ;eau: mais enﬁn 
1211;dange—;LOC;si visiblement ;"
reux, que deux"
1212;l’;LOC;rent à cheval, ;"un pour
Besanço"
1213;Besançon;LOC;"val, l’un pour
";, l’autre pour 
1214;l’;LOC;"pour
Besançon, ";autre pour alle
1215;l’;LOC;"t heures après
";événem‘ent avec
1216;Besançon;LOC;" et médecin de
";, ils trouvèren
1217;Riceys;LOC;"du médecin des
";. La peur déter
1218;Besançon;LOC; était resté à ;, fut attribuée
1219;lac des Bouxey;LOC;ans un îlot du ;", où
la baronne"
1220;Père-L&—;LOC;t d’Héloïse au ;"
chaise. .

Un "
1221;Rupt;LOC;ntà l’hôtel de ; dans un sauvag
1222;en‘proie;LOC;"hilomène
était "; a une douleur 
1223;s’;LOC; dehors : elle-;actmsait de la 
1224;Girardot;LOC;"ar, ni l’avoué
";, ni l’abbé de 
1225;Argaiolo;LOC;anger du duc d’;, celle où elle
1226;appa—;LOC;génie du mal y ;"
raissait dans "
1227;Français;LOC;"changement

du "; faussement inﬁ
1228;l’;LOC;"i voulait tuer
";amour chez sa r
1229;qu’;LOC;"rsonne, quelle
";elle soit, pous
1230;Sautez;LOC;" a sa probité.
";—vous tout ce q
1231;l’;LOC;", de divin dan
";histoire de ce 
1232;Providence;LOC;pensée, que la ;" prend alors
so"
1233;l’;LOC;e que celle de ;"En—
tance innoc"
1234;"grand-péniten—
cier";LOC;uis pas ici le ;, vous n‘êtes p
1235;Argaiolo;LOC;"
la duchesse d’";, est venu rede
1236;justi—;LOC;ayé d’aller se ;"
ﬁer... Mais co"
1237;l’;LOC;"?

—‘Oh! si je ";épouse, il sera
1238;Heureux;LOC;"eureux...

_ — "; ?… il ne vous 
1239;l’;LOC;a dit hier que ;obéissance étai
1240;lais—;LOC;roite que vous ;"
sera la liquid"
1241;A;LOC;"t de tête.

-— "; votre mère, re
1242;Beli—;LOC;néral, et à la ;"
gion qui aurai"
1243;Paris;LOC;uin, notaire à ;, son ami d’enf
1244;Nleorivez;LOC;" d’enfauee.
-— "; plus que pour 
1245;l’;LOC;omène promit à ;abbé de Graueey
1246;résul—;LOC;peut—être pour ;"
iet ne lui: ra"
1247;Besançon;LOC;equiu vint ‘u- ;"
muni d’une pro"
1248;ven—;LOC;ur le prier de ;"
dre la maison "
1249;tell;LOC;"uquel il s‘éè-
"; intéressé, le 
1250;efi';LOC;vaii paru très—;ligei des chose
1251;Grenoble;LOC;hurüouse, près ;". Voussawz
u mo"
1252;visi—;LOC;n prévoyant ma ;"
u le,.rilberl "
1253;uouoiuui—;LOC;ieuse et pour“ ;"
» sible; mais "
1254;ubélunä;LOC;t duutiesse du ;". me semble
» u"
1255;Belgirele;LOC;e bien loin. A:;", où elle

‘» n"
1256;Londres;LOC;’elle habitait ;". De
» Londres;"
1257;Londres;LOC;" Londres. De
» ";"; Atheriallu-ol"
1258;Atheriallu-olmroher;LOC;" De
» Londres; "; sa maîtresse à
1259;Naples;LOC;sa maîtresse à ;" et de
» Naples"
1260;Naples;LOC;"Naples et de
» "; àBome. où elle
1261;Florence;LOC;"olo,oe fut
» à ";, au moment où 
1262;Paris;LOC; son passage à ;";
» et 51 rousl"
1263;51 rousl’;LOC;" à Paris;
» et ";eriez vu nomme 
1264;aper—;LOC;us runs seriez ;"
» çu qu‘il ne "
1265;espé—;LOC;oulu—le repos, ;"
» rpns que le "
1266;De la Grande-Chartreuse;LOC;"çère de ﬁwumm

";".

» Jïei reuqn"
1267;j’;LOC; cet egerd. Si ;avais cédéà la 
1268;e!æ£u—;LOC; ﬂésert pî,t r,;"
» lit la voix "
1269;u’;LOC; chez. moi. Je ;nuruis pu serri
1270;Vdioi;LOC;"du sanctuaire; "; la dernière th
1271;j’;LOC;"ière this que
»";écris. Il a fal
1272;rErèrelﬁM-r;LOC;"sdﬁ» A
» . ' . ";"
_ .N9remhmﬁæ. "
1273;l’;LOC; mieux, se dit ;"abbé de

Granue"
1274;Granuey;LOC;"dit l’abbé de

";". ,

_ Quaïﬁi i"
1275;Quaïﬁi;LOC;"
Granuey. ,

_ "; il—eutuommuniq
1276;qu’;LOC;en! maintenant ;"il est perdu
‘ "
1277;—elle;LOC;l’ordonuât, dit;".

…—‘.—.— Voil"
1278;j’;LOC;" ’

_ ..—.— Si ";allais le voir?
1279;Chartreuse;LOC;"ut entrer à la
";, dit l’abbé.A—
1280;l’;LOC;hartreuse, dit ;abbé.A—insi rie
1281;Graueey;LOC;uellentahhé de ;" mou-
rut. il n"
1282;Waueville;LOC;uire mudumo de ;" elsﬁ ﬁlle

cet"
1283;Famjtié;LOC;ieyille crut à ;" de sa ﬁlle ; m"
1284;Paris;LOC;bonnement voir ; pour se uounur
1285;Saverne;LOC;"uu’à veu—
;gur "; en martyrisent
1286;l’;LOC;"de
Seules et à ";"avantager.

— A"
1287;grand—livre;LOC;e rente sur le ;"
par acquit de "
1288;Watteville;LOC;ademoiselle de ;"
était encore u"
1289;Rouxey;LOC;"le francs: les
"; pouvaient prod
1290;l’;LOC;s avantages de ;"habi—
tation, s"
1291;Paris;LOC;t les modes de ;",
furent—elle f"
1292;comtesse de Seules;LOC;"aucoup plus la
"; que ses préten
1293;Rupt;LOC;ntions à la de ;", ses
ﬁertés ma"
1294;l’;LOC;" le projet
qui ";amenait a Paris
1295;Paris;LOC;ui l’amenait a ;. Elle voulait 
1296;Rhétoré;LOC;"la duchesse
de ";, voir cette me
1297;l’;LOC;nsionnaires de ;ancienne Liste 
1298;Grande Chartreuse;LOC; cloître, à la ;", un homme
d’un"
1299;Watteville;LOC;ademoiselle de ;", la t‘a—
meuse"
1300;meuse;LOC;"ville, la t‘a—
"; héritière de B
1301;de Besançon;LOC;euse héritière ;"... -

La duche"
1302;l’;LOC; qui soupçonne ;innocence d’Alb
1303;Rhétoré;LOC;le duchesse de ;".

« si vous vo"
1304;Italienne;LOC;la malheureuse ; au bal, où Phi
1305;l’;LOC;lles l’une que ;autre! dit—elle
1306;Besançon;LOC;"is par hiver
à ";, occupée à fai
1307;l’Est;LOC;"élébri-
tés de ";".

Madame de Se"
1308;l’;LOC;"heureu-
sement ";"épouser !

Made"
1309;franchis—;LOC;grand—oncle en ;"
sant l’enceint"
1310;l’;LOC;"franchis—
sant ";enceinte de ce 
1311;Besançon;LOC;1, elle quitta ; dans l’intenti
1312;l’;LOC; Besançon dans ;intention, disa
1313;allu—;LOC;cey avait fait ;"
sion, elle se "
1314;Loire;LOC; trouva sur la ; dans le bateau
1315;qu’;LOC;ent mallraitée ;elle a perdu le
1316;trou—;LOC; soumise à des ;"
bles horribles"
1317;"Chartreuse des
Bouxey";LOC;ourd’hui de la ; où elle mène u
1318;Paris;LOC;" religieuses.

";", mai 1842.

FI"
1319;Croissant;LOC;rimaux, rue du ;", 16-

 

:
li
"
1320;ÈVE;LOC;",

UNE FILLE D’";".

——-——-ŒQæ———"
1321;A;LOC;"——-——-ŒQæ———‘

"; MADAME LA conr
1322;Paris;LOC; lui rappelant ;" à
Milan, vous "
1323;Milan;LOC;"pelant Paris à
";, vous ne vous 
1324;Milanais;LOC;urs , cher aux ;. Vous avez une
1325;l’;LOC;ère refusait a ;Euge‘nie mise e
1326;Français;LOC;yez que si les ;"
sont lancés de"
1327;Italien;LOC;oubli, je suis ; par la constan
1328;Corso;LOC;avez quitté le ; pour les Tre M
1329;Alpes;LOC;par-dessus les ;, il vous prouv
1330;l’;LOC;onnaissance et ;amitié respectu
1331;rue Neuve;LOC;x hôtels de la ;"—des—Ma—
thurin"
1332;cachemire;LOC;eux rideaux en ; d’un bleu pare
1333;Lelmobilier;LOC;"uets bleus. ‘

";, sculpté en pl
1334;l’;LOC;teuils oﬁ're à ;"oeil
des pages "
1335;méca—;LOC;ﬂeurs des arts ;"
niques écloses"
1336;Saxe;LOC;"olles du vieux
";, ces bergers q
1337;su‘scme;LOC;" en tenant

LE ";". — xur.

 

(E"
1338;BALZAG;LOC;" humaine.)

DE ";".

de délicats "
1339;Venise;LOC;"d’une glace
de "; encadrée d’un 
1340;d’;LOC;enise encadrée ;un ébène plein 
1341;Paris;LOC;s banquiers de ;, justiﬁe le lu
1342;orne;LOC;"e etl‘réné qui
"; l’hôtel, et au
1343;l’;LOC; de Granville, ;un des plus cél
1344;de France;LOC;et devenu pair ;" après la
révol"
1345;Vandenesse;LOC;"mte Fé—
lix de ";. De leur côté,
1346;Granville;LOC;leur côté, les ;" avaient jadis
"
1347;Vandenesse;LOC;ance avec. les ; par l’énormité
1348;Banque;LOC;dot. Ainsi, la ; avait réparé l
1349;Magistrature;LOC;"e faite à la

‘"; par la Nobless
1350;beau—frère;LOC;s de distance, ;" d’un
sieur Fer"
1351;appor—;LOC;ue 1830 devait ;"
ter dans l‘éta"
1352;la France;LOC;"la mo—
rale de ";? il eût pesé p
1353;ohassez—;LOC;e que, dans ce ;"
croisez, il pe"
1354;beau—père;LOC;la tête de son ;".

Ramassée sur"
1355;Vandenesse;LOC;"madame Féhx
de ";. Danslc monde,
1356;ambassa—;LOC;me de l‘ancien ;"
deur Charles d"
1357;l’;LOC;aris l‘un pour ;autre et des dé
1358;déso—;LOC;l’autre et des ;"
nions sociales"
1359;Elevécs;LOC;"n respective.

"; dans un sombre
1360;Marais;LOC;ombre hôtel du ;" par une femme
"
1361;Marie—Angélique;LOC;ers ses ﬁlles, ;" et Marie—
Euge"
1362;Eugeênie;LOC;"ique et Marie—
"; alteignirent l
1363;Paris;LOC;les églises de ; furent leurs t
1364;l’;LOC;loître. Depuis ;"âge de
raison, "
1365;indispen—;LOC; ou les études ;"
sables a des ﬁ"
1366;l’;LOC;t en travaux à ;aiguille faits 
1367;Anglais;LOC;permettent les ;,le dimanche, e
1368;l‘accom—;LOC;el d‘ailleurs, ;"
plissement de "
1369;hom—;LOC;le ciel et les ;"
mes. iles dudu"
1370;a—;LOC;ie et le pen d’;"
rithmélique né"
1371;poir—;LOC;r mère, car il ;"
vait s’y renco"
1372;comtesse de Granville;LOC; dangereux. La ;" ai—

 

mait a"
1373;éduca—;LOC;aimable. Cette ;"
tion porta ses"
1374;présen—;LOC;mme un joug et ;"
tée sous des l"
1375;L’;LOC;"aisirs inouis.
";achèvement d’un
1376;qu’;LOC;it, ne pouvait ;assombrir leurs
1377;Quotidienne;LOC;"tiblcs pour
la "; ou pour l’A—mt
1378;l’A;LOC;dienne ou pour ;—mt“ de la Reli
1379;l’;LOC;es ﬁambeaux de ;"amour, tout
leu"
1380;mainle—;LOC; sanbédrin qui ;"
uait la sévéri"
1381;l’;LOC;"es.
Mais quand ";aînée de ses ﬁl
1382;Granville;LOC;"s, le comte
de "; démontre la né
1383;conju—;LOC;a valeur d’une ;"
gale obéissanc"
1384;l’;LOC;rs. Le bien de ;innocence anima
1385;FILLE;LOC;"fmann, le

UNE ";" D’ÈVE.

315

 "
1386;ÈVE;LOC;"e

UNE FILLE D’";".

315

 

 

p"
1387;l’;LOC;otion et à qui ;on demanda s’il
1388;l’;LOC; de comprendre ;art, qu’après l
1389;qu’;LOC;prendre l’art, ;"après leur

mar"
1390;Schmuke;LOC;ﬁrent un Eden. ; ne s‘était sen
1391;Schmuke;LOC; explique tout ; et l’enfance d
1392;l’;LOC;out Schmuke et ;enfance des deu
1393;Allemand;LOC; découvert cet ; égaré dans Par
